"Date";"Date_UTC";"PoolName";"Currency";"Rate";"Balance";"Paid";"Earnings";"Value";"Balance_Sat";"Paid_Sat";"Earnings_Sat";"Value_Sat"
"02/09/2019 17:42:26";"02/09/2019 10:42:26";"MinerRocks";"RYO";"408163,265306122";"2,503202204";"296,49";"0,003945286";"0,003945286";"613";"72640";"1";"1"
"02/09/2019 17:42:26";"02/09/2019 10:42:26";"MinerRocks";"TUBE";"869565,217391304";"1,13678418";"248,8028";"0,04205310";"0,02747244";"131";"28612";"5";"3"
"02/09/2019 17:42:26";"02/09/2019 10:42:26";"MinerRocks";"XHV";"34470,8721130645";"0,391747294551";"7,0007";"0,025649104358";"0,001296728595";"1136";"20309";"74";"4"
"02/09/2019 18:13:20";"02/09/2019 11:13:20";"HeroMiners";"ARQ";"256585,648061298";"1,708783814";"3,9996";"0,019322100";"0,005841798";"666";"1559";"8";"2"
"02/09/2019 18:13:20";"02/09/2019 11:13:20";"MinerRocks";"RYO";"408163,265306122";"2,504205150";"296,49";"0,004948232";"0,001002946";"614";"72640";"1";"0"
"02/09/2019 18:13:20";"02/09/2019 11:13:20";"MinerRocks";"SUMO";"264550,264550265";"0,454504976";"0";"0,407186718";"0,407186718";"172";"0";"154";"154"
"02/09/2019 18:13:20";"02/09/2019 11:13:20";"MinerRocks";"TUBE";"869565,217391304";"1,14949902";"248,8028";"0,05476794";"0,01271484";"132";"28612";"6";"1"
"02/09/2019 18:13:20";"02/09/2019 11:13:20";"MinerRocks";"XHV";"34470,8721130645";"0,401235054124";"7,0007";"0,035136863931";"0,009487759573";"1164";"20309";"102";"28"
"02/09/2019 18:43:22";"02/09/2019 11:43:22";"MinerRocks";"RYO";"408163,265306122";"2,506248944";"296,49";"0,006992026";"0,002043794";"614";"72640";"2";"1"
"02/09/2019 18:43:22";"02/09/2019 11:43:22";"MinerRocks";"SUMO";"266666,666666667";"0,746817716";"0";"0,699499458";"0,292312740";"280";"0";"262";"110"
"02/09/2019 18:43:22";"02/09/2019 11:43:22";"MinerRocks";"XHV";"34470,8721130645";"0,429474634433";"7,0007";"0,063376444240";"0,028239580309";"1246";"20309";"184";"82"
"02/09/2019 19:13:46";"02/09/2019 12:13:46";"HeroMiners";"XCASH";"250000000";"2408,895841";"61440,535";"29,645696";"29,645696";"964";"24576";"12";"12"
"02/09/2019 19:13:46";"02/09/2019 12:13:46";"MinerRocks";"SUMO";"271002,7100271";"1,021842081";"0";"0,974523823";"0,275024365";"377";"0";"360";"101"
